"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"-:1.1-27455.7",,2,5489,21956,21956,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.902658,2,5489,21956,21956,4,1,0,0,0
"-:27456.1-32075.7",,2,922,3688,3688,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.1232,2,922,3688,3688,4,1,0,0,0
"-:32076.1-37325.7",,2,1048,4192,4192,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.144699,2,1048,4192,4192,4,1,0,0,0
"-:37326.1-48350.7",,2,2203,8812,8812,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.274422,2,2203,8812,8812,4,1,0,0,0
"-:48351.1-49280.7",,2,184,736,736,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.0357449,2,184,736,736,4,1,0,0,0
"-:49281.1-71555.7",,2,4453,17812,17812,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.559777,2,4453,17812,17812,4,1,0,0,0
"-:71556.1-116955.7",,2,9078,36312,36312,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.17746,2,9078,36312,36312,4,1,0,0,0
"-:116956.1-120500.7",,2,707,2828,2828,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.0964826,2,707,2828,2828,4,1,0,0,0
"-:120501.1-130645.7",,2,2027,8108,8108,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.254808,2,2027,8108,8108,4,1,0,0,0
"-:130646.1-145610.7",,2,2991,11964,11964,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.395876,2,2991,11964,11964,4,1,0,0,0
"-:145611.1-167945.7",,2,4465,17860,17860,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.609871,2,4465,17860,17860,4,1,0,0,0
"-:167946.1-204200.7",,2,7249,28996,28996,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.939872,2,7249,28996,28996,4,1,0,0,0
"-:204201.1-226620.7",,2,4482,17928,17928,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.594504,2,4482,17928,17928,4,1,0,0,0
"-:226621.1-232995.7",,2,1273,5092,5092,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.172559,2,1273,5092,5092,4,1,0,0,0
"-:232996.1-258015.7",,2,5002,20008,20008,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.634212,2,5002,20008,20008,4,1,0,0,0
"-:258016.1-291380.7",,2,6671,26684,26684,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.868357,2,6671,26684,26684,4,1,0,0,0
"-:291381.1-302680.7",,2,2258,9032,9032,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.295241,2,2258,9032,9032,4,1,0,0,0
"-:302681.1-324715.7",,2,4405,17620,17620,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.58537,2,4405,17620,17620,4,1,0,0,0
"-:324716.1-350985.7",,2,5252,21008,21008,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.674536,2,5252,21008,21008,4,1,0,0,0
"-:350986.1-396800.7",,2,9161,36644,36644,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.309,2,9161,36644,36644,4,1,0,0,0
"-:396801.1-413425.7",,2,3323,13292,13292,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.432869,2,3323,13292,13292,4,1,0,0,0
"-:413426.1-447935.7",,2,6900,27600,27600,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.887878,2,6900,27600,27600,4,1,0,0,0
"-:447936.1-485035.7",,2,7418,29672,29672,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.00202,2,7418,29672,29672,4,1,0,0,0
"-:485036.1-485840.7",,2,159,636,636,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.0327928,2,159,636,636,4,1,0,0,0
"-:485841.1-526780.7",,2,8186,32744,32744,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.12957,2,8186,32744,32744,4,1,0,0,0
